index,symbol,name,date,isEnabled,type,iexId
300,ALP-Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),7/19/2018,TRUE,ps,13373
301,ALPN,Alpine Immune Sciences Inc.,7/19/2018,TRUE,cs,9991
302,ALQA,Alliqua BioMedical Inc.,7/19/2018,TRUE,cs,8244
303,ALRM,Alarm.com Holdings Inc.,7/19/2018,TRUE,cs,10122
304,ALRN,Aileron Therapeutics Inc.,7/19/2018,TRUE,cs,13041
305,ALSK,Alaska Communications Systems Group Inc.,7/19/2018,TRUE,cs,261
306,ALSN,Allison Transmission Holdings Inc.,7/19/2018,TRUE,cs,262
307,ALT,Altimmune Inc.,7/19/2018,TRUE,cs,5433
308,ALTR,Altair Engineering Inc.,7/19/2018,TRUE,cs,13622
309,ALTS,ProShares Morningstar Alternatives Solution,7/19/2018,TRUE,N/A,9353
310,ALTY,Global X SuperDividend Alternatives ETF,7/19/2018,TRUE,N/A,10294
311,ALV,Autoliv Inc.,7/19/2018,TRUE,cs,268
312,ALX,Alexander's Inc.,7/19/2018,TRUE,cs,270
313,ALXN,Alexion Pharmaceuticals Inc.,7/19/2018,TRUE,cs,272
314,AM,Antero Midstream Partners LP representing limited partner interests,7/19/2018,TRUE,cs,8273
315,AMAG,AMAG Pharmaceuticals Inc.,7/19/2018,TRUE,cs,274
316,AMAT,Applied Materials Inc.,7/19/2018,TRUE,cs,276
317,AMBA,Ambarella Inc.,7/19/2018,TRUE,cs,277
318,AMBC,Ambac Financial Group Inc.,7/19/2018,TRUE,cs,278
319,AMBCW,Ambac Financial Group Inc. Warrants,7/19/2018,TRUE,N/A,7913
320,AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A,7/19/2018,TRUE,cs,280
321,AMBR,Amber Road Inc.,7/19/2018,TRUE,cs,8303
322,AMC,AMC Entertainment Holdings Inc. Class A,7/19/2018,TRUE,cs,7817
323,AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,7/19/2018,TRUE,N/A,13234
324,AMCN,AirMedia Group Inc,7/19/2018,TRUE,cs,284
